companyname,scraping date,web-scraper-order,jobtitle,jobtitleurls-href,location,employment type,skills,salary,noofopenings,web-scraper-start-url,companylogo-src,posted date,experience,qualification,description,prefered,summery,additional,swcondary,
IBM,05-02-2024 12:32,1706530438-1,h,https://www.ibm.com/careers/search#truste_domain_list,hh,hh,hh,"ConsultingPackage Consultant: Oracle ERP Cloud FinancialsProfessional
Kolkata, IN",,https://www.ibm.com/careers/search,gg,ff,dd,dds,,,,,,
IBM,05-02-2024 12:32,1706530441-2,,https://www.ibm.com/privacy,,,,"IBM Websites






    


        

        
          
    Our websites offer ways to communicate with you about us, our products, and services. The information that we collect on websites is used to provide you with access to the website, to operate the website, to improve your experience, and to personalize the way that information is provided to you. If you visit our websites without logging in with an account, we may still collect information that is connected to your website visit.
For more information on the technologies that we use to collect website information, and setting your preferences, see Cookies and Similar Technologies.",,https://www.ibm.com/careers/search,,"IBM Applications, Cloud and Online Services






    


        

        
          
    Our cloud and online services include “as-a-service” and desktop applications, mobile applications (or apps), and IBM Learning services. We collect information about the use of these services, such as pages you view or your interactions on that page, to improve and develop our services and to generate technical and market insights. We may require an IBMid for the use of our cloud and online services (see Your Account).",,,,,,,,
IBM,05-02-2024 12:32,1706530449-3,,https://www.ibm.com/careers/search#,,,,"ConsultingPackage Consultant: Oracle ERP Cloud FinancialsProfessional
Kolkata, IN",,https://www.ibm.com/careers/search,,"Enterprise OperationsTerritory ManagerProfessional
Mumbai, IN",,,,,,,,
IBM,05-02-2024 12:32,1706530460-4,QA/Test Developer,https://careers.ibm.com/job/19802791/qa-test-developer-bangalore-in/?codes=WEB_SEARCH_NA,"Bangalore, IN",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk.

Your Role and Responsibilities
The IBM Data Security team works to deliver leading edge products and solutions to help organizations analyze their data, make decisions to ensure regulatory compliance and improve their data security. The research and development in this area are critical to IBM and represent a huge opportunity for growth in terms of revenue uplift and technology advancement. As a Test Developer, you will be part of a highly focused, self-managed Agile team and will help design and execute test plans, develop automation to reduce manual effort and increase productivity. You will be responsible to test new features, reproduce and verify fixed issues. The ideal candidate should have a strong passion for solving problems, finding issues in software products, developing efficient automation, experimenting with new technologies, and learning Data Security.

Required Technical and Professional Expertise
Bachelor in computer science, Engineering or relevant field. Hands-on experience with at least two programming languages, such as Java or Python. Experience in working on Windows and Unix OS as tester, installing packages. Knowledge of bash, network, and TCP basics. Experience with C/C++ is a plus. Experience using SQL and NoSQL databases.

Preferred Technical and Professional Expertise  Experience in performance testing and profiling. Experience with CI/CD tools, e.g., Jenkins, Travis. Experience with cloud infrastructure, e.g., private clouds, public clouds. Experience with unit testing frameworks. Experience working in an agile team, e.g., Kanban.  Capability to demonstrate and evaluate AI solutions via experimental methods, particularly through hands-on creation of prototypes. Knowledge of Large Language Models (LLM), Langchain and HuggingFace Model",h,h,,,
IBM,05-02-2024 12:32,1706530468-5,C++ Developer,https://careers.ibm.com/job/19802496/c-developer-remote/?codes=WEB_SEARCH_NA,Multiple Locations See All,Category:Software Engineering,,Req ID:684975BR,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk.

Your Role and Responsibilities
We are looking for Software Engineers who are self-starters, quick learners, and who enjoy working in a challenging, fast paced environment. Members of our team work with the world’s leading companies in industries including banking, commerce, insurance, social media, transportation and governments as they enable their mission critical business applications via the web. Responsibilities L3 Support Engineers debug reported problems, design, develop and unit test code fixes. They use programming languages in which the product has been written; have an in depth understanding of the environment to test the code fix; understand and articulate the impact on other components in the product. They may support L2 Service Specialists in performing problem determination and analysis on client systems. Depending on the severity level of a problem, they may work directly with clients through conference calls or onsite visits. They provide client insight and feedback regarding the client environment to the development organization responsible for existing and new product development.

Required Technical and Professional Expertise  3 years of SAP experience with HANA .Net, C++ and JAVA Containers and OCP Content Management repositories, preferably FileNet Install Anywhere Strong Experience with databases like DB2, Oracle, PostgreSQL, MongoDB, etc. Experience with DevOps Technology like Jenkins, Travis CI, etc. Operations or systems administration experience, particularly on Linux and Windows Problem solving and troubleshooting skills on both on-prem and container based deployment Familiarity with Agile methodologies and principles  
Preferred Technical and Professional Expertise  Cpp Dev: CPP coding on Visual studio on Windows, Data Structure, Multithreading, Memory management
Java, Spring, Struts, web services Manul testing, API testing C/C++ .Net, C#, ASP.net, SQL server, sharepoint Java, Spring,Struts, web services Release Management Manual testing",h,,h,,
IBM,05-02-2024 12:32,1706530475-6,Application Developer: RPA,https://careers.ibm.com/job/19802463/application-developer-rpa-bangalore-in/?codes=WEB_SEARCH_NA,"Bangalore, IN",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
In this role, you’ll work in one of our IBM Consulting Client Innovation Centers (Delivery Centers), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. Our delivery centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting embraces long-term relationships and close collaboration with clients across the globe. You’ll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including IBM Software and Red Hat.
Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you’ll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.

Your Role and Responsibilities
You are responsible for Interacting with business / client stakeholders and assessing requirements for the new reconciliation and responsible for matching rule prototype, configuration and implementation. 
Required Technical and Professional Expertise  Designs and implements test strategies for testing the integrated Power Automate workflows – Investigates, analyses the automated processes and ensures the requirements are met · Excellent understanding of RPA products and technologies, and upcoming trends in RPA technology landscape. · Test the workflows built · Strong knowledge of Assets, Queues and related activities – Should be able to assess business processes rigorously in order to determine whether the business processes are ideal for automation or not. Excellent understanding of RPA products and technologies, and upcoming trends in RPA technology landscape. · Test the workflows built · Strong knowledge of Assets, Queues and related activities – Good Communication skill, should be able to run playback, demo, UAT sessions independently with Client teams.  
Preferred Technical and Professional Expertise  Determines, designs and implements the number of processes and the number of modules within each process using Power Automate, to map to the overall solution to address the client process automation requirement  Integrates the modules developed by the junior developer in the overall solution – Designs and implements the key configurable items in the Power Automate workflows to be utilised in the entire solution Designs and implements test strategies for testing the integrated Power Automate workflows – Investigates, analyses the automated processes and ensures the requirements are met ·",,,,h,
IBM,05-02-2024 12:32,1706530483-7,Package Consultant: SAP Cloud Integration,https://careers.ibm.com/job/19766382/package-consultant-sap-cloud-integration-chennai-in/?codes=WEB_SEARCH_NA,"Chennai, IN",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
In this role, you’ll work in our IBM Client Innovation Center (CIC), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology As a Package Consultant at IBM, get ready to tackle numerous mission-critical company directives. Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using various tools. You will use a mix of consultative skills, business knowledge, and technical expertise to effectively integrate packaged technology into our clients’ business environment and achieve business results.

Your Role and Responsibilities
As a Consultant you will serve as a client-facing practitioner who sells, leads and implements expert services utilizing the breadth of IBM’s offerings and technologies. A successful Consultant is regarded by clients as a trusted business advisor who collaborates to provide innovative solutions used to solve the most challenging business problems. 
You will work on projects that help clients integrate strategy, process, technology, and information to increase effectiveness, reduce costs and improve profit and shareholder value. You can take advantage of opportunities to master new skills, work across different disciplines, move into new challenges and develop a robust understanding of different industries.  
Required Technical and Professional Expertise  4-12  Years of SAP Functional experience specializing in design and configuration of SAP modules using PI. SAP Cloud Integration – PI, Groovy.· The consultant should have extensive experience in SCP (SAP Cloud Platform) technologies (APIM, PI, DI) and they will be involved in the migration work (BizTalk/SSIS to SCP-PI)  Ability to integrate Cloud applications with On Premise applications and Cloud with Cloud expertise   You should have at least one HANA Cloud Integration (HCI) project experience   Experience in Groovy Script, Java, XSLT, XML and Web Services experience is required .  Demonstrable experience in using PI/PO tools (mapping tools/editors) and proficient in different mapping styles (Graphical Mapping, Java Mapping, XSLT Mapping) and Interfaces using at least Advanced Adapter Engine (AAE) in PI 7.1 Ehp1. Experience in CI\\CD preferred.   
Preferred Technical and Professional Expertise  Since our current integrations are developed in BizTalk 2020 (EAI) and SSIS (ETL) with .net code behind the scene, it is desirable to have these skills (not mandatory) on XML, XSLT, .Net are the technologies used in BizTalk 2020.  Exposure to APIM is desirable (not mandatory)",,,,,
IBM,05-02-2024 12:32,1706530492-8,Package Specialist: SAP SCM PP,https://careers.ibm.com/job/19766396/package-specialist-sap-scm-pp-mumbai-in/?codes=WEB_SEARCH_NA,"Mumbai, IN",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
In this role, you’ll work in our IBM Client Innovation Center (CIC), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology As an Application Package Specialist, you’ll help clients in the selection, implementation, and production support of application packaged solutions. You’ll gain in-depth consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients’ business environment. Join us and start your path as a key player to achieve client expected business results and become the expert you want to be.

Your Role and Responsibilities  The ability to be a team player The ability and skill to train other people in procedural and technical topics Strong communication and collaboration skills  
Required Technical and Professional Expertise  Should be able to convert the business requirement in to a Functional Specification documents Convert and explain key business requirement to technical specification document for development Configure SAP System within PP module as per the requirements specified &Convert and create impact analysis document Understand integration requirement with other SAP modules and  Non SAP systems Analyze, Research, Troubleshoot and help resolve defects arising out of process  
Preferred Technical and Professional Expertise  Should have deep knowledge of SAP PP Module  and business domain knowledge Experience in  SAP PP Module OR integration knowledge with other SAP Module is essential Certification in SAP PP is preferred",,,,,
IBM,05-02-2024 12:32,1706530499-9,Package Specialist: SAP HANA Sales,https://careers.ibm.com/job/19765647/package-specialist-sap-hana-sales-hyderabad-in/?codes=WEB_SEARCH_NA,"Hyderabad, IN",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
In this role, you’ll work in our IBM Client Innovation Center (CIC), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology. A career in IBM Consulting is rooted by long-term relationships and close collaboration with clients across the globe.
You’ll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including Software and Red Hat.
Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you’ll be encouraged to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and development opportunities in an environment that embraces your unique skills and experience.

Your Role and Responsibilities  Assists clients in the selection, implementation, and support of SD Hana for SAP. Team member who will implement new functionalities and improve existing functionalities including articulating, analysing requirements and translating them into effective solutions  
Required Technical and Professional Expertise  BE / B Tech in any stream, M.Sc. (Computer Science/IT) / M.C.A, with Minimum 2-4 years of experience 2+ years of working experience in SAP Hana Sales MM Functional role. Experience in SAP Support Projects. preferably in Pharma industry and GST knowledge  Experience in SAP Hana Sales Experience specializing in design and configuration of SAP SD Hana modules.  
Preferred Technical and Professional Expertise  Experience in working with teams to prioritize work and drive system solutions by clearly articulating business needs  Proven work experience in HANA Implementation would be an added advantage Travel to client location mandatory",,,,,
IBM,05-02-2024 12:32,1706530508-10,Package Specialist: SAP Ariba,https://careers.ibm.com/job/19765659/package-specialist-sap-ariba-hyderabad-in/?codes=WEB_SEARCH_NA,"Hyderabad, IN",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
In this role, you’ll work in our IBM Client Innovation Center (CIC), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world.? These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology As an Application Package Specialist, you’ll help clients in the selection, implementation, and production support of application packaged solutions. You’ll gain in-depth consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients’ business environment. Join us and start your path as a key player to achieve client expected business results and become the expert you want to be.

Your Role and Responsibilities  Ability to take full ownership and deliver component or functionality. Supporting the team to deliver project features with high quality and providing technical guidance.     Responsible to work effectively individually and with team members toward customer satisfaction and success.  
Required Technical and Professional Expertise  Should have deep knowledge of SAP ARIBA Module and business domain knowledge. Minimum of 4-6 years of experience  in support projects Should have hands-on experience on Ariba Sourcing, Ariba Contract, SLP, Ariba Network, Ariba Catalog, Guided Buying modules. Hands-on experience in designing and configuring templates, approval flows.Understanding of SAP-Ariba integration using CI9/CIG, Ariba Commerce Automation.  
Preferred Technical and Professional Expertise  Understanding of Service now & Azure tools is added advantage. Must be good with SAP Ariba day-to-day support activities. Experience in other SAP Modules like SAP SRM OR integration knowledge is essential",,,,h,
IBM,05-02-2024 12:32,1706530516-11,CMOD on zOS Administrator,https://careers.ibm.com/job/19765698/cmod-on-zos-administrator-remote/?codes=WEB_SEARCH_NA,Multiple Locations See All,Category:Consulting,,Req ID:684251BR,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
The IBM CMOD z/OS Administrator is responsible for the installation, configuration, maintenance, and overall administration of the IBM Content Manager OnDemand (CMOD) system on z/OS. This role involves working closely with various stakeholders to ensure the efficient functioning of CMOD and to support the organization’s document and content management needs.

Your Role and Responsibilities  Be a trusted Advisor of the Customer on Business Automation space. Work for smooth delivery of assigned projects Ability to work independently and as part of a team in a fast-paced, dynamic development environment. Be a hands-on person and deliver.  Involve in product installation/ configurations, troubleshooting (performance, 3rd party integrations, security) Based on customer requirements, deliver the deployment System Administration:   Install, configure, and maintain IBM Content Manager OnDemand software. Manage user access, security, and permissions within the CMOD system.   Performance Optimization:   Monitor and optimize the performance of the CMOD system. Diagnose and resolve performance-related issues.   Maintenance and Upgrades:   Perform routine system maintenance tasks, including backups and system updates. Plan and execute upgrades to newer versions of IBM CMOD.   User Support:   Provide technical support to end-users and address their inquiries or issues related to IBM CMOD. Conduct user training sessions as needed.   Monitoring and Reporting:   Implement monitoring tools to track system health and performance. Generate reports on system usage, performance metrics, and other relevant KPIs.  
Required Technical and Professional Expertise  5-12 Years of industry experience. Bachelor’s degree in Computer Science, Information Technology, or a related field. Proven experience in CMOD on z/OS. Proven experience in ECM development using IBM FileNet or similar technologies. Strong programming skills, preferably in Java or other relevant languages. Knowledge of ECM standards and best practices. Experience with relational databases and SQL. Understanding of document management and workflow processes. Excellent problem-solving and communication skills. Relevant certifications in IBM ECM products is preferred, such as IBM Certified Application Developer – Content Platform Engine.  
Preferred Technical and Professional Expertise  Should be familiar with development life cycle processes, tools, concepts, and methodologies. Demonstrates excellent verbal and written communications skills Demonstrates strong analytical thinking and problem-solving skills Creative approach to problem solving, innovation and issue resolution Superior interpersonal skills and the ability to collaborate actively and proactively with others in a cross-functional team Ability to work independently and lead the team of junior developers as per the situation Ability to guide team members on technical & non-technical issues during execution Good vision on solving customer issues, set proper expectations and clear/concise communication with customer",,,,,
IBM,05-02-2024 12:32,1706530522-12,Process Associate – Finance and Administration Delivery,https://careers.ibm.com/job/19683971/process-associate-finance-and-administration-delivery-gurgaon-in/?codes=WEB_SEARCH_NA,"Gurgaon, IN",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
The Finance & Admin Business Analyst is essential to the ongoing profitable operations for one of the most globally recognized and respected companies in the world. By overseeing our financial activities, you will enable IBM to continue to bring to market ground-breaking innovations such as Artificial Intelligence, Cognitive Solutions, Cloud Infrastructure, and Blockchain technologies, to name a few.

Your Role and Responsibilities
As Delivery Practitioner, you are responsible for transaction processing In Outsourcing Industry for some Transaction processing/Data Entry/Insurance Verification in Operations. If you thrive in a dynamic, collaborative workplace, IBM provides an environment where you will be challenged and inspired every single day. And if you relish the freedom to bring creative, thoughtful solutions to the table, there’s no limit to what you can accomplish here.  Responsibilities  Should have healthcare domain basis knowledge  Patient/Payor Authorization knowledge/experience will be preferred  Ensure client Service Level Agreements (SLA) and timelines are met.  
Required Technical and Professional Expertise  Minimum 0-1 year work experience in healthcare domain Ability to handle queries through calls and Email follow-ups Willingness to perform job role in shifts as required Good Communication Skills with fluency  Ability to work under pressure situations  
Preferred Technical and Professional Expertise  Proficient in Microsoft Office applications  Experience in handling queries via calls and emails is highly desired Follows procedures, comfortable in adapting to transformation within business unit You love collaborative environments that use agile methodologies to encourage creative design thinking and find innovative ways to develop with cutting edge marketing trends Ambitious individual who can work under their own direction towards agreed targets/goals. Ability to manage change and be open to it good time management and an ability to work under stress Proven interpersonal skills while contributing to team effort by accomplishing related results as needed  We wish you great success in your career and encourage you to bring your best self to work with IBM.",,,,,
IBM,05-02-2024 12:32,1706530525-13,,https://careers.ibm.com/job/19636258/-ibm-japan-technology-sales-support-staff-remote/?codes=WEB_SEARCH_NA,"Tokyo, JP",Employment Type:Full-Time,,,,https://www.ibm.com/careers/search,https://cdn-static.findly.com/wp-content/uploads/sites/1432/2020/12/logo.png,,,,"Introduction
At IBM, work is more than a job – it’s a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you’ve never thought possible. Are you ready to lead in this new era of technology and solve some of the world’s most challenging problems? If so, lets talk.

Your Role and Responsibilities
*This is a position at IBM Japan. Technology Sales handles a huge number of transactions for existing projects every day, and the sales workload has increased significantly, so we are looking for someone who can support some of this work. “Business details”
·As back office staff for Technology Sales, support employees in their work execution.

Required Technical and Professional Expertise
·Ability to process paperwork (according to set deadlines)
·Office products (Excel, Powerpoint, Word), email, Slack, WebEX
·Ability to complete work
·Ability to communicate what cannot be done
·Smooth communication skills
·Diversity, Inclusion: Accept diversity, respect others, and be able to work as a team. The content of the work will be negotiable depending on the disability situation.

Preferred Technical and Professional Expertise
·Over 3 years of experience in back-end work as a working people.
 (Experience in back-end operations at an IT company is a plus)",,,,,
